AntiLa         
pT(GeV/c)      CompetMass     MLoverP        SigExtrac      Topological    TPCPID         TrackQuality   Material       Total          
0.65           0.0171585      1.7658         0.238993       3.45119        0.275968       0.452464       4              5.60063        
0.75           0.123523       1.72494        0.146414       3.29615        0.191256       0.34096        4              5.47992        
0.85           0.437687       1.68487        0.18484        3.38444        0.248276       0.275062       4              5.53681        
0.95           0.919717       2.07351        0.274983       3.29353        0.458955       0.253743       4              5.68712        
1.05           1.89262        1.91979        0.38978        3.1212         0.302654       0.301836       4              5.77444        
1.15           2.89852        1.87788        0.373669       2.45948        0.218329       0.357275       4              5.85592        
1.3            3.65148        1.76408        0.393574       1.32684        0.0274575      0.525557       4              5.88538        
1.5            2.25469        1.71679        0.518866       0.660847       0.135892       0.650808       4              5.01786        
1.7            0.175399       1.39092        0.478021       0.26854        0.116317       0.783109       4              4.34659        
1.9            0.159286       0.877633       0.535877       0.540958       0.136975       1.00365        4              4.2897         
2.1            0.183453       0.285154       0.352034       0.925582       0.151733       1.53663        4              4.4136         
2.3            0              0.0995976      0.481337       1.0222         0.147657       1.71463        4              4.4998         
2.5            0.136502       0.0244327      0.479332       1.11991        0.151692       1.83978        4              4.57285        
2.7            0.433998       0.0177391      0.580268       1.26599        0.128096       1.94619        4              4.68318        
3              0.244009       0.0289817      0.882091       1.39516        0.250816       1.5936         4              4.62465        
3.45           0              0.0277687      0.928381       1.54603        0.137769       1.55579        4              4.6575         
3.95           0.319355       0.0137051      1.06083        1.34975        0.177392       1.11678        4              4.50866        
4.6            0              0.0207841      1.16063        0.926127       0.254176       1.08845        4              4.41073        
5.5            0.464714       0              1.26715        0              0.376642       1.36836        4              4.45375        
7              0.92           0              1.67833        0.791581       0.389123       0.606426       4              4.56169        
10             3.43525        0              0.616369       4.1419         1.23899        1.14348        4              6.9411         
