Kshort         
pT(GeV/c)      CompetMass     MLoverP        SigExtrac      Topological    TPCPID         TrackQuality   Material       Total          
0.65           0.160531       0.00909248     0.759823       0.234595       0.143219       1.54043        4              4.36482        
0.75           0.266408       0.105319       1.06361        0.715904       0.1495         1.49036        4              4.46871        
0.85           0.17084        0.0648357      0.934931       0.627787       0.0762839      1.28119        4              4.35303        
0.95           0.065106       0.0361524      0.684191       0.190867       0.0449716      1.20844        4              4.23939        
1.05           0.32315        0.108615       0.468997       0.380442       0.0536812      1.20067        4              4.23384        
1.15           0.640967       0.15192        0.25727        0.710728       0.0586921      1.14739        4              4.28079        
1.3            1.09861        0.176941       0.118528       1.07368        0.0434422      1.17839        4              4.44922        
1.5            1.13693        0.0379778      0.210825       0.812894       0.0851096      1.14992        4              4.39646        
1.7            0.561782       0.151058       1.19087        0.576113       0.0893235      1.21486        4              4.42407        
1.9            0.0492386      0.120907       1.47018        1.44967        0.109674       1.09828        4              4.63662        
2.1            0.198613       0.0509865      1.14454        1.41915        0.122134       1.23649        4              4.57273        
2.3            0.267961       0.0397321      0.869082       0.951474       0.132105       1.52724        4              4.48151        
2.5            0.160852       0.0373696      0.720791       0.602132       0.13873        1.65419        4              4.43452        
2.7            0.0921171      0.0345364      0.694603       0.253039       0.124597       1.55282        4              4.35694        
3              0.0676777      0.0154764      0.547082       0.104818       0.103          1.54524        4              4.32591        
3.45           0.137184       0.0160822      0.231027       0.0764682      0.097323       1.49893        4              4.28189        
3.95           0.037538       0.0124902      0.420982       0.186821       0.137463       1.29991        4              4.23348        
4.6            0.0854355      0              0.329151       0.155299       0.142987       1.67639        4              4.35551        
5.5            0.138123       0              0.477942       0.42106        0.12233        1.13497        4              4.21045        
7              0.0984456      0              0.252084       0              0.171839       1.14372        4              4.17263        
10             0.267559       0              1.11223        0              0.113951       0.350114       4              4.17663        
