Lambda         
pT(GeV/c)      CompetMass     MLoverP        SigExtrac      Topological    TPCPID         TrackQuality   Material       Total          
0.65           0.00559698     2.13173        0.331021       3.93112        0.279629       0.637163       4              6.04911        
0.75           0.127542       2.19186        0.197035       3.74586        0.192027       0.773189       4              5.96033        
0.85           0.414482       2.31521        0.196791       3.82403        0.228623       0.826362       4              6.07693        
0.95           0.887285       2.21691        0.313044       3.64627        0.424915       0.770348       4              5.98909        
1.05           1.767          2.16814        0.324545       2.81475        0.305655       0.760826       4              5.70295        
1.15           2.55834        2.23315        0.381531       2.39147        0.227277       0.774901       4              5.83514        
1.3            3.14045        1.94456        0.535114       1.65291        0.0426807      0.717196       4              5.76007        
1.5            1.76986        1.96225        0.527588       0.459648       0.123556       0.892443       4              4.9279         
1.7            0              1.57126        0.428587       0.366667       0.124805       0.885195       4              4.42562        
1.9            0.115666       1.03181        0.534587       0.542427       0.140507       1.07905        4              4.34075        
2.1            0              0.375585       0.477291       0.79947        0.167741       1.36279        4              4.34665        
2.3            0              0.131325       0.402898       1.01432        0.180586       1.70886        4              4.49013        
2.5            0.214982       0.0288972      0.558809       1.05264        0.158434       2.01138        4              4.64092        
2.7            0.273404       0.0209218      0.59212        1.23293        0.146554       1.87534        4              4.63511        
3              0              0.0188223      0.783145       1.26549        0.152933       1.89063        4              4.67044        
3.45           0.214858       0.0234641      1.00052        1.21621        0.190626       1.77752        4              4.66078        
3.95           0              0.0233674      1.135          1.0602         0.191139       1.80893        4              4.66064        
4.6            0.492538       0.00904505     1.01141        0.802033       0.171496       1.67621        4              4.55499        
5.5            0.404919       0.0231225      1.50236        0.756957       0.288246       1.82414        4              4.7334         
7              1.39726        0              1.12965        0              0.56723        1.8305         4              4.78549        
10             2.80758        0              1.69959        3.93484        1.12557        1.26458        4              6.71715        
