Omega          
pT(GeV/c)      SigExtrac      Topological    TPCPID         TrackQuality   Material       Total          
1.05           2.28319        2.82302        3.87377        0              4              6.64745        
1.4            2.48921        4.07927        6.4989         0.140163       4              9.00511        
1.8            3.77446        4.55368        6.01326        0.51382        4              9.34911        
2.1            4.5649         5.40693        8.70131        1.4912         4              12.0004        
2.3            5.29815        5.77586        9.52474        1.3688         4              13.0394        
2.5            4.61754        5.84375        8.2099         1.67048        4              11.9023        
2.7            4.68802        5.16109        7.16298        1.97975        4              10.9472        
3              4.93104        4.09489        6.73756        1.6082         4              10.2501        
3.45           5.19065        3.75096        4.65923        0.743908       4              8.90362        
3.95           4.48023        2.47193        5.11376        0.371197       4              8.27474        
4.6            3.078          2.4129         5.95149        0.237743       4              8.17147        
