Xi             
pT(GeV/c)      SigExtrac      Topological    TPCPID         TrackQuality   Material       Total          
0.65           2.96052        0.618199       1.91519        2.82757        4              6.06713        
0.75           2.77063        2.01121        2.27396        1.12146        4              5.84379        
0.85           1.65784        0.695785       2.77926        0              4              5.192          
0.95           1.59799        0.396672       2.3019         0.298185       4              4.90903        
1.05           1.31436        0.351992       2.18235        0.314828       4              4.76584        
1.15           1.27203        0.281854       1.99516        0.187879       4              4.65977        
1.3            0.397762       1.34745        1.55885        0.457807       4              4.5402         
1.5            1.38689        1.6841         1.36281        0.100723       4              4.75679        
1.7            1.25407        1.35838        1.55903        0.154897       4              4.6768         
1.9            0.977868       0.885034       1.51513        0.0846575      4              4.47686        
2.1            0.979098       0.849108       1.69752        0.0790633      4              4.53513        
2.3            0.816141       0.790896       1.72907        0.058249       4              4.50385        
2.5            0.882112       0.669381       1.83481        0              4              4.53792        
2.7            0.770549       0.597303       1.86985        0.323815       4              4.5334         
3              0.388691       0.831913       1.79426        0.385781       4              4.4957         
3.45           0.159505       0.447053       1.7716         0.194096       4              4.40472        
3.95           0.61281        0.761513       1.65586        0              4              4.43816        
4.6            0.285622       0.895754       1.66218        0              4              4.43247        
5.5            0.785168       0.761714       1.84408        0.191566       4              4.54247        
7              0.495133       0.974248       2.38544        0              4              4.78379        
